"AZMIGRATEPROJECT_SUBSCRIPTION_ID","AZMIGRATEPROJECT_RESOURCE_GROUP_NAME","AZMIGRATEPROJECT_NAME","Machine","Exception","MIGRATION_STATE_FOR_REPLICATION","MIGRATION_STATE_DESCRIPTION_FOR_REPLICATION","INITIALREPLICATION_PROGRESS_PERCENTAGE","TEST_MIGRATE_STATE","TEST_MIGRATE_STATE_DESCRIPTION","LAST_JOB_SCENARIONAME","LAST_JOB_NAME","LAST_JOB_ID","LAST_JOB_STATE","LAST_JOB_STATE_DESCRIPTION","LAST_JOB_ERROR_CODE","LAST_JOB_ERROR_DESCRIPTION","LAST_JOB_ERROR_POSSIBLECAUSE","LAST_JOB_ERROR_RECOMMENDEDACTION","AdditionalInformation"
"6b72781d-4550-419b-a56e-44055341a88e","srcrg-ecy","ECYPROJ","testvm-cvm2",,,,,,,,,,,,,,,,"Azure Migrate Replicating Server could not be retrieved for 'srcrg-ecy-ECYPROJ-testvm-cvm2'"
"6b72781d-4550-419b-a56e-44055341a88e","srcrg-ecy","ECYPROJ","testvm-cvm6",,,,,,,,,,,,,,,,"Azure Migrate Replicating Server could not be retrieved for 'srcrg-ecy-ECYPROJ-testvm-cvm6'"
