"AZMIGRATEPROJECT_SUBSCRIPTION_ID","AZMIGRATEPROJECT_RESOURCE_GROUP_NAME","AZMIGRATEPROJECT_NAME","Machine","Exception","AdditionalInformation"
"6b72781d-4550-419b-a56e-44055341a88e","shivamtest-rg","ECYPROJ","testvm-cvm3","EXCEPTION PROCESSING ITEM",
"6b72781d-4550-419b-a56e-44055341a88e","shivamtest-rg","ECYPROJ","testvm-cvm8","EXCEPTION PROCESSING ITEM",
"6b72781d-4550-419b-a56e-44055341a88e","shivamtest-rg","ECYPROJ","testvm-cvm1","EXCEPTION PROCESSING ITEM",
