"AZMIGRATEPROJECT_SUBSCRIPTION_ID","AZMIGRATEPROJECT_RESOURCE_GROUP_NAME","AZMIGRATEPROJECT_NAME","Machine","Exception","AdditionalInformation"
"6b72781d-4550-419b-a56e-44055341a88e","srcrg-ecy","ECYPROJ","testvm-cvm3",,"Replication Job is initiated for the specified machine: 'testvm-cvm3'"
"6b72781d-4550-419b-a56e-44055341a88e","srcrg-ecy","ECYPROJ","testvm-cvm8",,"Replication Job is initiated for the specified machine: 'testvm-cvm8'"
"6b72781d-4550-419b-a56e-44055341a88e","srcrg-ecy","ECYPROJ","testvm-cvm1",,"Replication Job is initiated for the specified machine: 'testvm-cvm1'"
