"AZMIGRATEPROJECT_SUBSCRIPTION_ID","AZMIGRATEPROJECT_RESOURCE_GROUP_NAME","AZMIGRATEPROJECT_NAME","Machine","Exception","AdditionalInformation"
"6b72781d-4550-419b-a56e-44055341a88e","srcrg-ecy","ECYPROJ","testvm-cvm2",,"Stop replication Job is initiated for the specified machine: 'testvm-cvm2'"
"6b72781d-4550-419b-a56e-44055341a88e","srcrg-ecy","ECYPROJ","testvm-cvm6",,"Stop replication Job is initiated for the specified machine: 'testvm-cvm6'"
